college,college_full_name,conference,scrape_date,football_url,scrape_type
alabama,Alabama,SEC,10/18/2018,http://www.rolltide.com/roster.aspx?path=football ,ul
arizona,Arizona,Pac-12,10/18/2018,http://arizonawildcats.com/roster.aspx?path=football ,ul
arizona_state,Arizona State,Pac-12,10/18/2018,http://thesundevils.com/roster.aspx?path=football ,ul
arkansas,Arkansas,SEC,10/18/2018,http://www.arkansasrazorbacks.com/sport/m-footbl/roster/ ,table
auburn,Auburn,SEC,10/18/2018,http://www.auburntigers.com/sports/m-footbl/mtt/aub-m-footbl-mtt.html ,ul
baylor,Baylor,Big 12,10/18/2018,http://www.baylorbears.com/sports/m-footbl/mtt/bay-m-footbl-mtt.html ,ul
boston_college,Boston College,ACC,10/18/2018,http://bceagles.com/roster.aspx?path=football ,ul
cal,Cal,Pac-12,10/18/2018,http://calbears.com/roster.aspx?path=football ,ul
clemson,Clemson,ACC,10/18/2018,http://www.clemsontigers.com/SportSelect.dbml?DB_OEM_ID=28500&SPID=103701&SPSID=657772 ,table
colorado,Colorado,Pac-12,10/18/2018,http://cubuffs.com/roster.aspx?path=football ,ul
duke,Duke,ACC,10/18/2018,http://www.goduke.com/SportSelect.dbml?DB_OEM_ID=4200&SPID=1843&SPSID=22667 ,grid
florida,Florida,SEC,10/18/2018,http://floridagators.com/roster.aspx?path=football ,ul
florida_state,Florida State,ACC,10/18/2018,http://seminoles.com/sports/football/roster/season/2017-18/ ,table
georgia,Georgia,SEC,10/18/2018,https://georgiadogs.com/roster.aspx?path=football ,ul
georgia_tech,Georgia Tech,ACC,10/18/2018,http://www.ramblinwreck.com/sports/m-footbl/mtt/geot-m-footbl-mtt.html,table
illinois,Illinois,Big Ten,10/18/2018,http://fightingillini.com/roster.aspx?path=football ,table
indiana,Indiana,Big Ten,10/18/2018,http://iuhoosiers.com/roster.aspx?path=football,ul
iowa,Iowa,Big Ten,10/18/2018,http://hawkeyesports.com/roster.aspx?roster&path=football ,ul
iowa_state,Iowa State,Big 12,10/18/2018,http://cyclones.com/roster.aspx?path=football ,ul
kansas,Kansas,Big 12,10/18/2018,https://kuathletics.com/roster.aspx?path=football ,ul
kansas_state,Kansas State,Big 12,10/18/2018,http://www.kstatesports.com/roster.aspx?path=football ,ul
kentucky,Kentucky,SEC,10/18/2018,https://ukathletics.com/roster.aspx?path=football ,ul
louisville,Louisville,ACC,10/18/2018,http://gocards.com/roster.aspx?path=football ,ul
lsu,LSU,SEC,10/18/2018,http://www.lsusports.net/SportSelect.dbml?DB_OEM_ID=5200&SPID=2164&SPSID=27812 ,grid
maryland,Maryland,Big Ten,10/18/2018,http://www.umterps.com/SportSelect.dbml?DB_OEM_ID=29700&SPID=120713&SPSID=716328&DB_OEM_ID=29700 ,ul
miami,Miami,ACC,10/18/2018,https://hurricanesports.com/roster.aspx?path=football ,ul
michigan,Michigan,Big Ten,10/18/2018,http://mgoblue.com/roster.aspx?roster&path=football ,ul
michigan_state,Michigan State,Big Ten,10/18/2018,http://www.msuspartans.com/sports/m-footbl/mtt/msu-m-footbl-mtt.html ,ul
minnesota,Minnesota,Big Ten,10/18/2018,http://www.gophersports.com/sports/m-footbl/mtt/minn-m-footbl-mtt.html ,ul
miss_state,Miss. State,SEC,10/18/2018,http://hailstate.com/roster.aspx?path=football ,ul
missouri,Missouri,SEC,10/18/2018,https://mutigers.com/roster.aspx?path=football ,ul
nc_state,NC State,ACC,10/18/2018,https://gopack.com/roster.aspx?path=football ,table
nebraska,Nebraska,Big Ten,10/18/2018,http://www.huskers.com/SportSelect.dbml?DB_OEM_ID=100&SPID=22&SPSID=4 ,grid
northwestern,Northwestern,Big Ten,10/18/2018,http://nusports.com/roster.aspx?path=football ,table
notre_dame,Notre Dame,ACC,10/18/2018,http://www.und.com/sports/m-footbl/mtt/nd-m-footbl-mtt.html ,ul
ohio_state,Ohio State,Big Ten,10/18/2018,http://www.ohiostatebuckeyes.com/sports/m-footbl/mtt/osu-m-footbl-mtt.html ,table
oklahoma,Oklahoma,Big 12,10/18/2018,http://www.soonersports.com/SportSelect.dbml?DB_OEM_ID=31000&SPID=127245&SPSID=750326 ,grid
oklahoma_state,Oklahoma State,Big 12,10/18/2018,http://okstate.com/roster.aspx?path=football ,table
ole_miss,Ole Miss,SEC,10/18/2018,http://www.olemisssports.com/sports/m-footbl/mtt/ole-m-footbl-mtt.html ,ul
oregon,Oregon,Pac-12,10/18/2018,http://goducks.com/roster.aspx?path=football ,ul
oregon_state,Oregon State,Pac-12,10/18/2018,http://osubeavers.com/roster.aspx?path=football ,ul
penn_state,Penn State,Big Ten,10/18/2018,http://www.gopsusports.com/sports/m-footbl/mtt/psu-m-footbl-mtt.html ,ul
pitt,Pitt,ACC,10/18/2018,http://pittsburghpanthers.com/roster.aspx?path=football ,ul
purdue,Purdue,Big Ten,10/18/2018,http://www.purduesports.com/sports/m-footbl/mtt/pur-m-footbl-mtt.html,ul
rutgers,Rutgers,Big Ten,10/18/2018,http://scarletknights.com/roster.aspx?roster&path=football ,ul
south_carolina,South Carolina,SEC,10/18/2018,http://www.gamecocksonline.com/sports/m-footbl/mtt/scar-m-footbl-mtt.html ,ul
stanford,Stanford,Pac-12,10/18/2018,http://gostanford.com/roster.aspx?path=football ,ul
syracuse,Syracuse,ACC,10/18/2018,https://cuse.com/roster.aspx?path=football ,ul
tcu,TCU,Big 12,10/18/2018,http://www.gofrogs.com/sports/m-footbl/mtt/tcu-m-footbl-mtt.html ,ul
tennessee,Tennessee,SEC,10/18/2018,http://utsports.com/roster.aspx?path=football ,ul
texas,Texas,Big 12,10/18/2018,http://texassports.com/roster.aspx?path=football ,ul
texas_am,Texas A&M,SEC,10/18/2018,https://12thman.com/roster.aspx?path=football ,ul
texas_tech,Texas Tech,Big 12,10/18/2018,https://texastech.com/roster.aspx?path=football ,ul
ucla,UCLA,Pac-12,10/18/2018,http://uclabruins.com/roster.aspx?path=football ,ul
north_carolina,UNC,ACC,10/18/2018,http://goheels.com/roster.aspx?path=football ,ul
usc,USC,Pac-12,10/18/2018,http://usctrojans.com/roster.aspx?path=football ,ul
utah,Utah,Pac-12,10/18/2018,http://utahutes.com/roster.aspx?path=football ,ul
vanderbilt,Vanderbilt,SEC,10/18/2018,http://www.vucommodores.com/sports/m-footbl/mtt/vand-m-footbl-mtt.html,ul
virginia,Virginia,ACC,10/18/2018,http://www.virginiasports.com/sports/m-footbl/mtt/va-m-footbl-mtt.html ,ul
virginia_tech,Virginia Tech,ACC,10/18/2018,https://hokiesports.com/roster.aspx?path=football,ul
wake_forest,Wake Forest,ACC,10/18/2018,http://www.wakeforestsports.com/sports/m-footbl/mtt/wake-m-footbl-mtt.html ,ul
washington,Washington,Pac-12,10/18/2018,http://gohuskies.com/roster.aspx?path=football ,ul
washington_state,Washington State,Pac-12,10/18/2018,http://wsucougars.com/roster.aspx?path=football ,ul
west_virginia,West Virginia,Big 12,10/18/2018,https://wvusports.com/roster.aspx?path=football ,ul
wisconsin,Wisconsin,Big Ten,10/18/2018,http://uwbadgers.com/roster.aspx?path=football ,ul
